,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,% Capacité,Beetlejuice Semaines jouées,Attendance,,,Année,Attendance,Semaine jouée,Nouvelle production
,,,,,,90,"Mar 8, 2020","10,802",,,2022-23,12.28,1474,40
,,,,,,95,"Mar 1, 2020","11,373",,,2021-22,6.73,946,39
,,,,,,102,"Feb 23, 2020","12,155",,,2019-20,11.14,1282,33
,,,,,,96,"Feb 16, 2020","11,438",,,2018-19,14.77,1737,38
,,,,,,96,"Feb 9, 2020","11,492",,,2017-18,13.79,1624,33
,,,,,,96,"Feb 2, 2020","11,492",,,2016-17,13.27,1580,45
,,,,,,100,"Jan 26, 2020","11,9",,,2015-16,13.32,1648,39
,,,,,,98,"Jan 19, 2020","11,711",,,2014-15,13.10,1626,37
,,,,,,101,"Jan 12, 2020","12,11",,,2013-14,12.21,1496,44
,,,,,,102,"Jan 5, 2020","10,68",,,2012-13,11.57,1430,46
,,,,,,102,"Dec 29, 2019","13,733",,,2011-12,12.33,1522,41
,,,,,,98,"Dec 22, 2019","11,723",,,2010-11,12.53,1588,42
,,,,,,98,"Dec 15, 2019","11,666",,,2009-10,11.89,1464,39
,,,,,,91,"Dec 8, 2019","10,923",,,2008-09,12.15,1548,43
,,,,,,101,"Dec 1, 2019","12,102",,,2007-08,12.27,1560,36
,,,,,,82,"nov. 24, 2019","9,753",,,2006-07,12.31,1509,35
,,,,,,84,"nov. 17, 2019","9,996",,,2005-06,12.00,1501,39
,,,,,,97,"nov. 10, 2019","11,569",,,2004-05,11.53,1494,39
,,,,,,96,"nov. 3, 2019","11,516",,,2003-04,11.61,1451,38
,,,,,,94,"oct. 27, 2019","11,254",,,2002-03,11.42,1544,36
,,,,,,98,"oct. 20, 2019","11,73",,,2001-02,10.95,1433,36
,,,,,,101,"oct. 13, 2019","12,045",,,2000-01,11.90,1484,28
,,,,,,87,"oct. 6, 2019","10,361",,,1999-00,11.39,1463,36
,,,,,,84,"Sep 29, 2019","10,039",,,1998-99,11.67,1441,39
,,,,,,88,"Sep 22, 2019","10,523",,,1997-98,11.48,1442,33
,,,,,,90,"Sep 15, 2019","10,8",,,1996-97,10.57,1349,38
,,,,,,81,"Sep 8, 2019","9,731",,,1995-96,9.47,1147,38
,,,,,,92,"Sep 1, 2019","11,006",,,1994-95,09.04,1123,34
,,,,,,90,"Aug 25, 2019","10,704",,,1993-94,8.12,1069,41
,,,,,,93,"Aug 18, 2019","11,07",,,1992-93,7.86,1019,34
,,,,,,94,"Aug 11, 2019","11,175",,,1991-92,7.38,905,37
,,,,,,94,"Aug 4, 2019","11,251",,,1990-91,7.31,984,29
,,,,,,95,"Jul 28, 2019","11,326",,,,,,
,,,,,,94,"Jul 21, 2019","11,196",,,,,,
,,,,,,92,"Jul 14, 2019","11,011",,,,,,
,,,,,,93,"Jul 7, 2019","11,09",,,,,,
,,,,,,88,"Jun 30, 2019","10,51",,,,,,
,,,,,,88,"Jun 23, 2019","10,57",,,,,,
,,,,,,87,"Jun 16, 2019","10,396",,,,,,
,,,,,,82,"Jun 9, 2019","9,764",,,,,,
,,,,,,80,"Jun 2, 2019","9,557",,,,,,